n.id,n.name,n.group,n.ditch,n.burial
G_1,Grab 1,south,none,feminin
G_2,Grab 2,south,none,feminin/maskulin
G_3,Grab 3,south,none,feminin
G_4,Grab 4,south,none,maskulin
G_5,Grab 5,south,circular,maskulin
G_6,Grab 6,south,none,feminin/infans
G_7,Grab 7,south,circular,triple
G_8,Grab 8,south,none,feminin/maskulin
G_9,Grab 9,south,none,infans
G_10,Grab 10,south,none,maskulin
G_11,Grab 11,south,circular,feminin/maskulin
G_12,Grab 12,south,none,feminin
G_13,Grab 13,south,none,feminin/maskulin
G_14,Grab 14,south,none,infans
G_15,Grab 15,south,none,feminin
G_16,Grab 16,south,none,triple
G_17,Grab 17,south,none,feminin/maskulin
G_18,Grab 18,south,none,
G_19,Grab 19,south,none,maskulin
G_20,Grab 20,south,none,feminin
G_21,Grab 21,south,none,feminin
G_22,Grab 22,south,none,feminin/maskulin
G_23,Grab 23,south,none,feminin/maskulin
G_24,Grab 24,south,none,infans
G_25,Grab 25,south,none,feminin/maskulin
G_26,Grab 26,south,none,maskulin
G_27,Grab 27,south,none,feminin/maskulin
G_28,Grab 28,south,circular,feminin/maskulin
G_29,Grab 29,south,none,infans
G_31,Grab 31,south,circular,feminin/maskulin
G_34,Grab 34,south,none,
G_35,Grab 35,south,none,maskulin
G_36,Grab 36,south,circular,feminin/infans
G_38,Grab 38,south,circular,feminin/maskulin
G_39,Grab 39,south,none,feminin
G_40,Grab 40,south,none,triple
G_41,Grab 41,south,none,infans
G_42,Grab 42,south,none,maskulin
G_43,Grab 43,south,none,feminin
G_44,Grab 44,south,none,feminin/infans
G_45,Grab 45,south,none,feminin/maskulin
G_46,Grab 46,south,none,infans
G_48,Grab 48,south,circular,feminin/maskulin
G_49,Grab 49,south,none,feminin/maskulin
G_51,Grab 51,south,none,
G_52,Grab 52,south,none,feminin/maskulin
G_53,Grab 53,south,none,infans
G_54,Grab 54,south,none,maskulin
G_55,Grab 55,south,none,infans
G_56,Grab 56,south,none,feminin/maskulin
G_57,Grab 57,south,circular,feminin/maskulin
G_59,Grab 59,south,none,feminin/maskulin
G_60,Grab 60,middle,none,maskulin
G_61,Grab 61,middle,none,feminin
G_62,Grab 62,middle,none,maskulin
G_63,Grab 63,middle,none,infans
G_64,Grab 64,middle,none,
G_65,Grab 65,middle,none,feminin/infans
G_66,Grab 66,middle,none,feminin
G_67,Grab 67,middle,none,feminin/maskulin
G_68,Grab 68,middle,none,maskulin
G_69,Grab 69,middle,none,feminin
G_70,Grab 70,middle,none,feminin/maskulin
G_72,Grab 72,middle,circular,infans
G_73,Grab 73,middle,none,maskulin
G_74,Grab 74,middle,none,feminin/maskulin
G_76,Grab 76,middle,none,triple
G_77,Grab 77,middle,none,
G_78,Grab 78,middle,none,
G_79,Grab 79,middle,none,feminin
G_80,Grab 80,middle,circular,feminin/infans
G_81,Grab 81,middle,circular,feminin/maskulin
G_82,Grab 82,middle,none,feminin/maskulin
G_83,Grab 83,middle,circular,unbestimmbar
G_84,Grab 84,middle,circular,feminin/maskulin
G_86,Grab 86,middle,none,feminin
G_87,Grab 87,middle,circular,infans
G_88,Grab 88,middle,circular,feminin
G_89-1,Grab 89 I,middle,none,feminin
G_89-2,Grab 89 II,middle,none,infans
G_90,Grab 90,middle,circular,maskulin/unbestimmbar
G_92,Grab 92,middle,none,feminin/maskulin
G_94,Grab 94,middle,rectangular_secondary,feminin/maskulin
G_95,Grab 95,middle,rectangular,feminin/maskulin
G_96,Grab 96,middle,rectangular_secondary,maskulin
G_97,Grab 97,middle,circular,feminin/maskulin
G_98,Grab 98,middle,none,
G_100,Grab 100,middle,none,feminin/maskulin
G_101,Grab 101,middle,none,feminin
G_102,Grab 102,middle,none,
G_103,Grab 103,middle,none,feminin/maskulin
G_104,Grab 104,middle,none,feminin/infans
G_105,Grab 105,middle,none,
G_106,Grab 106,middle,circular,feminin/maskulin
G_107,Grab 107,middle,circular,feminin
G_108,Grab 108,middle,none,
G_109,Grab 109,middle,circular,infans/maskulin
G_110,Grab 110,middle,circular,infans
G_111,Grab 111,middle,none,infans
G_112,Grab 112,middle,none,feminin/maskulin
G_113,Grab 113,middle,circular,feminin/maskulin
G_114,Grab 114,middle,none,maskulin
G_115,Grab 115,middle,none,feminin/maskulin
G_116,Grab 116,middle,none,maskulin
G_117,Grab 117,middle,circular,feminin/maskulin
G_118,Grab 118,middle,circular,maskulin
G_119,Grab 119,middle,none,maskulin
G_120,Grab 120,middle,circular,feminin
G_121,Grab 121,middle,none,feminin/maskulin
G_122,Grab 122,middle,none,infans/infans
G_123,Grab 123,middle,circular,feminin/maskulin
G_124,Grab 124,middle,none,feminin/maskulin
G_125,Grab 125,middle,none,feminin
G_126,Grab 126,middle,none,
G_127,Grab 127,middle,circular,feminin/maskulin
G_128,Grab 128,middle,none,feminin/maskulin
G_129,Grab 129,middle,none,infans
G_130,Grab 130,middle,none,feminin
G_131,Grab 131,middle,none,feminin/maskulin
G_132,Grab 132,middle,none,feminin
G_133,Grab 133,middle,none,feminin/maskulin
G_134,Grab 134,middle,none,infans
G_135,Grab 135,middle,none,feminin
G_136,Grab 136,middle,none,feminin/maskulin
G_137,Grab 137,middle,none,feminin/maskulin
G_138,Grab 138,middle,none,feminin/maskulin
G_139,Grab 139,middle,none,feminin/maskulin
G_140,Grab 140,middle,none,feminin/maskulin
G_141,Grab 141,middle,none,feminin/maskulin
G_143,Grab 143,middle,circular,feminin/maskulin
G_144,Grab 144,north,none,triple
G_145,Grab 145,north,none,
G_146,Grab 146,north,none,
G_147,Grab 147,north,none,
G_149,Grab 149,north,none,infans
G_150,Grab 150,north,none,feminin/maskulin
G_151,Grab 151,north,none,infans
G_152,Grab 152,north,none,feminin/maskulin
G_153,Grab 153,north,none,feminin/maskulin
G_154,Grab 154,north,none,feminin/maskulin
G_155,Grab 155,north,none,infans
G_156,Grab 156,north,none,feminin/maskulin
G_157,Grab 157,north,none,feminin/maskulin
G_158,Grab 158,north,none,infans
G_159,Grab 159,north,none,feminin/maskulin
G_160,Grab 160,north,none,feminin/maskulin
G_161,Grab 161,north,none,feminin/maskulin
G_162,Grab 162,north,circular,feminin/maskulin
G_163,Grab 163,north,circular,feminin/maskulin
G_164,Grab 164,north,none,
G_165,Grab 165,north,none,feminin/infans
G_166,Grab 166,north,none,feminin/maskulin
G_167,Grab 167,north,none,feminin/maskulin
G_168,Grab 168,north,none,
G_169,Grab 169,north,none,feminin
G_170,Grab 170,north,none,feminin/maskulin
G_171,Grab 171,north,none,feminin/maskulin
G_172,Grab 172,north,none,feminin/maskulin
G_173,Grab 173,north,none,feminin/maskulin
G_174,Grab 174,north,none,feminin/maskulin
G_175,Grab 175,north,none,feminin/maskulin
G_176,Grab 176,north,none,feminin/maskulin
G_177,Grab 177,north,circular,feminin/maskulin
G_178,Grab 178,north,none,feminin
G_179,Grab 179,north,none,feminin/maskulin
G_180,Grab 180,north,none,feminin/maskulin
G_181,Grab 181,north,none,feminin/maskulin
G_182,Grab 182,north,none,feminin/infans
G_183,Grab 183,north,none,feminin
G_184,Grab 184,north,none,infans/maskulin
G_185,Grab 185,north,none,feminin/infans
G_186,Grab 186,north,none,feminin/maskulin
G_187,Grab 187,north,none,feminin/maskulin
G_188,Grab 188,north,none,feminin/maskulin
G_189,Grab 189,north,none,maskulin/unbestimmbar
G_190,Grab 190,north,none,maskulin
G_191,Grab 191,north,none,feminin/maskulin
G_192,Grab 192,north,none,maskulin
G_193,Grab 193,north,none,feminin/maskulin
G_194,Grab 194,north,none,
G_195,Grab 195,north,circular,feminin/maskulin
G_196,Grab 196,north,none,feminin/maskulin
G_197,Grab 197,north,none,infans/maskulin
G_198,Grab 198,north,none,feminin/infans
G_199,Grab 199,north,none,feminin/maskulin
G_200,Grab 200,north,none,infans
G_201,Grab 201,north,none,infans
G_202,Grab 202,north,none,feminin/maskulin
G_203,Grab 203,north,none,feminin/infans
G_204,Grab 204,north,none,feminin/maskulin
G_205,Grab 205,north,none,feminin/maskulin
G_206,Grab 206,north,none,infans
G_207,Grab 207,north,none,infans
G_208,Grab 208,north,none,infans
G_209,Grab 209,north,none,feminin/maskulin
G_210,Grab 210,north,none,feminin/maskulin
G_211,Grab 211,north,none,feminin/maskulin
G_212,Grab 212,north,none,feminin/maskulin
G_213,Grab 213,north,none,feminin/maskulin
G_214,Grab 214,north,none,
G_215,Grab 215,north,none,
G_216,Grab 216,north,none,feminin/maskulin
G_217,Grab 217,north,none,feminin
G_219,Grab 219,north,rectangular_secondary,maskulin
G_220,Grab 220,north,rectangular,feminin/maskulin
G_221,Grab 221,north,none,feminin/maskulin
G_222,Grab 222,north,none,feminin/maskulin
G_223,Grab 223,north,none,feminin/maskulin
G_224,Grab 224,north,none,infans
G_225,Grab 225,north,circular,feminin/maskulin
G_226,Grab 226,north,none,feminin
G_227,Grab 227,north,none,infans
G_228,Grab 228,north,none,feminin/maskulin
G_229,Grab 229,north,circular,feminin/maskulin
G_230,Grab 230,north,circular,feminin/maskulin
G_231,Grab 231,north,none,feminin/maskulin
G_232,Grab 232,north,none,feminin/maskulin
G_233,Grab 233,north,none,feminin/maskulin
G_234,Grab 234,north,none,feminin/maskulin
G_235,Grab 235,north,none,feminin/maskulin
G_236,Grab 236,north,circular,
G_237,Grab 237,north,circular,feminin/maskulin
G_238,Grab 238,north,circular,feminin/maskulin
G_239,Grab 239,north,none,feminin/maskulin
G_240,Grab 240,north,none,feminin/maskulin
G_241,Grab 241,north,none,
G_242,Grab 242,north,circular,feminin/maskulin
G_243,Grab 243,north,none,feminin/maskulin
G_244,Grab 244,north,none,infans
G_245,Grab 245,north,none,feminin/maskulin
G_246,Grab 246,north,none,
G_247,Grab 247,north,none,feminin/maskulin
G_248,Grab 248,north,circular,feminin/maskulin
G_249,Grab 249,north,circular,feminin/maskulin
G_250,Grab 250,north,circular,feminin/maskulin